494 529 132  0.5789 3.11394963130171E-07
495 533 133  0.4677 5.441505411907E-10
496 533 133  0.4652 7.70246181127756E-09
497 533 133  0.4666 6.85773799127148E-08
498 537 134  0.468 3.40308519317963E-11
499 537 134  0.4909 9.32036875450427E-10
500 537 134  0.467 1.19114451365259E-08
501 537 134  0.4706 9.85416125169403E-08
502 541 135  0.4815 6.95797242859056E-11
503 541 135  0.4719 1.55866099629878E-09
504 541 135  0.5892 1.81458773200069E-08
505 541 135  0.474 1.39862007365598E-07
506 545 136  0.4743 1.34489953092716E-10
507 545 136  0.4788 2.55239826213154E-09
508 545 136  0.4742 2.72493278599582E-08
509 545 136  0.4743 1.96151418669398E-07
510 549 137  0.4771 2.48400687935384E-10
511 549 137  0.4778 4.10157014590002E-09
512 549 137  0.478 4.03588660319174E-08
513 549 137  0.4879 2.71932338008168E-07
514 553 138  0.6637 4.42327408771588E-10
515 553 138  0.4818 6.47791612960928E-09
516 553 138  0.4816 5.89843749645907E-08
517 553 138  0.481 3.7279462495904E-07
518 557 139  0.4848 7.64364441804483E-10
519 557 139  0.4837 1.00672229440241E-08
520 557 139  0.4825 8.51027580895583E-08
521 561 140  0.4884 5.3878937554162E-11
522 561 140  0.4851 1.28784004239787E-09
523 561 140  0.4886 1.54085362400786E-08
524 561 140  0.4974 1.21265946539539E-07
525 565 141  0.5982 1.0622892955137E-10
526 565 141  0.5104 2.12268052763827E-09
527 565 141  0.5104 2.32432092100068E-08
528 565 141  0.4912 1.70724008520775E-07
529 569 142  0.5028 1.99195394636561E-10
530 569 142  0.4952 3.43095073594436E-09
531 569 142  0.4926 3.45754194302869E-08
532 569 142  0.4914 2.37562977335779E-07
533 573 143  0.4985 3.58911132623339E-10
534 573 143  0.6138 5.44777999325005E-09
535 573 143  0.4961 5.07451871901121E-08
536 573 143  0.4949 3.26853232182675E-07
537 577 144  0.4981 6.26125201620418E-10
538 577 144  0.4972 8.50870096674278E-09
539 577 144  0.4963 7.35147949885325E-08
540 581 145  0.5069 4.14190760515751E-11
541 581 145  0.5012 1.06327656197121E-09
542 581 145  0.503 1.30849456558891E-08
543 581 145  0.5037 1.05169707199672E-07
544 585 146  0.6115 8.34923367141833E-11
545 585 146  0.5159 1.76446052747517E-09
546 585 146  0.5032 1.98278717447423E-08
547 585 146  0.503 1.4863357875003E-07
548 589 147  0.5058 1.59212829417836E-10
549 589 147  0.5059 2.8691402197297E-09
550 589 147  0.515 2.96241938286119E-08
551 589 147  0.5051 2.07597050996874E-07
552 593 148  0.5111 2.90590079525212E-10
553 593 148  0.5333 4.58067119494103E-09
554 593 148  0.6164 4.36626976536426E-08
555 593 148  0.5184 2.86659480502669E-07
556 597 149  0.5123 5.12140295167205E-10
557 597 149  0.5118 7.19078766071449E-09
558 597 149  0.5125 6.35141895545323E-08
559 601 150  0.5154 3.15768440591282E-11
560 601 150  0.5148 8.77019820199114E-10
561 601 150  0.5157 1.11112947172494E-08
562 601 150  0.5163 9.12250803687585E-08
563 605 151  0.6276 6.52416685111918E-11
564 605 151  0.519 1.46574715208673E-09
565 605 151  0.5167 1.69143326240382E-08
566 605 151  0.5178 1.29424658344342E-07
567 609 152  0.5213 1.26761653340378E-10
568 609 152  0.522 2.39828159745372E-09
569 609 152  0.5201 2.53825267471965E-08
570 609 152  0.5217 1.81446185296067E-07
571 613 153  0.5275 2.34663115839101E-10
572 613 153  0.6314 3.85045336575964E-09
573 613 153  0.5253 3.75702728624721E-08
574 613 153  0.524 2.51461023548356E-07
575 617 154  0.5282 4.1816928538693E-10
576 617 154  0.5267 6.07579669526335E-09
577 617 154  0.5265 5.48773574447178E-08
578 617 154  0.5247 3.44624439368827E-07
579 621 155  0.5291 7.22522115507032E-10
580 621 155  0.5552 9.43404749720832E-09
581 621 155  0.6421 7.91355140098316E-08
582 625 156  0.5337 5.06318780610281E-11
583 625 156  0.5371 1.21660155475896E-09
584 625 156  0.5346 1.4427525959523E-08
585 625 156  0.5314 1.12708818785792E-07
586 629 157  0.5342 1.00464569966523E-10
587 629 157  0.533 2.00354626856736E-09
588 629 157  0.5318 2.17467779180047E-08
589 629 157  0.5361 1.58606958179375E-07
590 633 158  0.6502 1.889181535629E-10
591 633 158  0.5364 3.23531663525098E-09
592 633 158  0.5371 3.2326640780253E-08
593 633 158  0.5374 2.20612441816829E-07
594 637 159  0.548 3.40728192668289E-10
595 637 159  0.5488 5.13215567219379E-09
596 637 159  0.5405 4.74140170684662E-08
597 637 159  0.5399 3.03418290639686E-07
598 641 160  0.5485 5.94383312739932E-10
599 641 160  0.652 8.00816437952744E-09
600 641 160  0.5523 6.8647979097622E-08
601 645 161  0.5473 3.8980359861549E-11
602 645 161  0.5455 1.00878799656295E-09
603 645 161  0.5463 1.23041488119971E-08
604 645 161  0.5464 9.81533886426691E-08
605 649 162  0.5573 7.91906295427654E-11
606 649 162  0.5481 1.67257912339924E-09
607 649 162  0.57 1.86291530314204E-08
608 649 162  0.6567 1.38647283918378E-07
609 653 163  0.5528 1.51541366900315E-10
610 653 163  0.5592 2.71702268953857E-09
611 653 163  0.554 2.78116072798103E-08
612 653 163  0.5527 1.93558147183647E-07
613 657 164  0.5557 2.76944319036048E-10
614 657 164  0.5548 4.33334380695007E-09
615 657 164  0.5541 4.09617872005041E-08
616 657 164  0.6699 2.67157562134596E-07
617 661 165  0.5567 4.88139362605355E-10
618 661 165  0.5573 6.79565033840596E-09
619 661 165  0.5582 5.95458941789415E-08
620 665 166  0.5611 2.97308924113032E-11
621 665 166  0.5631 8.35465786428447E-10
622 665 166  0.561 1.0490597188373E-08
623 665 166  0.5639 8.54729826369558E-08
624 669 167  0.5785 6.20258245383236E-11
625 669 167  0.6769 1.39507863270082E-09
626 669 167  0.5639 1.59549859921973E-08
627 669 167  0.566 1.21194901252409E-07
628 673 168  0.5662 1.21044500724201E-10
629 673 168  0.5765 2.28029192622428E-09
630 673 168  0.6707 2.39226905806466E-08
631 673 168  0.5684 1.69818459156485E-07
632 677 169  0.5751 2.24455419218799E-10
633 677 169  0.7376 3.65704936521543E-09
634 677 169  0.5953 3.53818362513905E-08
635 677 169  0.5702 2.35230214505926E-07
636 681 170  0.5745 4.00090233436032E-10
637 681 170  0.5733 5.76442810436162E-09
638 681 170  0.5818 5.16433299696845E-08
639 685 171  0.5741 2.2441064629354E-11
